id,track_info,client,service_type,goal,remaining,status,url,submit_date,start_date,receipts,salesperson,invoice,sale_price,confirm_start_date,notes,send_receipts,ask_client_for_playlist,last_modified,salesperson_email,created_at,updated_at
1,,DVRKSTAR,Reposts,40000000.0,40000000.0,Unreleased,https://open.spotify.com/track/1vOJxx5YTpxbadKxSMaT09?si=07d03e09dd9d4e2c&nd=1&dlsi=7e94e047e9a74d2a,,,,Jared/Katt,Sent,$1000,,,,,9/20/2025 1:53pm,katt@artistinfluence.com,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
2,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/acyanmusic/leadpoison-vip?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:25pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
3,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/oddlygodlymusic/acyan-urvan-oddly-godly-remix?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:25pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
4,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/malixemusic/acyan-connoisseur-malixe-remix?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:26pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
5,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/jpky/acyan-nuteeth-jpky-emix?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:30pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
6,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/imreach/dunseith-remix?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:32pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
7,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/acyanmusic/rustvip?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:32pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
8,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/iamwolfmagic/nekomaremix?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:33pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
9,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/acyanmusic/ravenvip?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:33pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
10,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/bagggggg/acyan-torrii-omholt-bagg-remix?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:35pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
11,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/mistrrr/connoisseur-remix?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:34pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
12,,Acyan,Reposts,2000000.0,2000000.0,Active,https://soundcloud.com/torriibot/torrii-mutter-torrii-remix?in=acyanmusic/sets/phantoms-fangs,9/19/2025,,,,,,,,,,9/19/2025 5:35pm,,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
13,,Filthy,Reposts,60000000.0,60000000.0,Active,https://soundcloud.com/filthyboiii/break-the-pattern/s-90cRT4RTOr1?si=1d25735b9f184aa7afb42a3598b4bc9a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,9/21/2025,,,Philippe,Paid,$0,,,,,9/21/2025 5:29pm,philippe@artistinfluence.com,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
14,,"Sektor 8,Powerhaus MGMT",Reposts,3000000.0,3000000.0,Unreleased,https://on.soundcloud.com/Tsmtj4ZmLpXAjjyhfa,9/21/2025,,,Cam,TBD,$200,,,,,9/21/2025 5:40pm,cam@artistinfluence.com,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
15,,It's A Ten Records,Reposts,10.0,10.0,Complete,https://soundcloud.com/yungpooda/buss-down,7/19/2023,7/19/2023,,Jared,Paid,,,,,,8/14/2024 10:27pm,jared@artistinfluence.com,2025-09-23T21:39:18.761771+00:00,2025-09-23T21:39:18.761771+00:00
